ID,Target_Audience,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Date
1,Men 18-24,Google Ads,0.04,"$20,000.00 ",6.29,Chicago,Spanish,506,1922,6,1/1/2021
2,Women 35-44,Google Ads,0.12,"$11,566.00 ",5.61,New York,German,116,7523,7,1/2/2021
3,Men 25-34,YouTube,0.07,"$10,200.00 ",7.18,Los Angeles,French,584,7698,1,1/3/2021
4,All Ages,YouTube,0.11,"$12,724.00 ",5.55,Miami,Mandarin,217,1820,7,1/4/2021
5,Men 25-34,YouTube,0.05,"$16,452.00 ",6.5,Los Angeles,Mandarin,379,4201,3,1/5/2021
6,All Ages,Instagram,0.07,"$9,716.00 ",4.36,New York,German,100,1643,1,1/6/2021
7,Women 35-44,Website,0.13,"$11,067.00 ",2.86,Los Angeles,Spanish,817,8749,10,1/7/2021
8,Men 18-24,Google Ads,0.08,"$13,280.00 ",5.55,Los Angeles,Mandarin,624,7854,7,1/8/2021
9,Women 35-44,Facebook,0.09,"$18,066.00 ",6.73,Chicago,German,861,1754,6,1/9/2021
10,Women 35-44,Instagram,0.09,"$13,766.00 ",3.78,Los Angeles,English,642,3856,3,1/10/2021
11,Men 25-34,Email,0.12,"$8,590.00 ",3.49,New York,Spanish,321,6628,10,1/11/2021
12,Men 25-34,Google Ads,0.05,"$17,502.00 ",3.59,Los Angeles,Mandarin,659,8948,1,1/12/2021
13,Men 25-34,Facebook,0.09,"$17,189.00 ",4.91,Chicago,Mandarin,677,8817,10,1/13/2021
14,Men 25-34,Instagram,0.14,"$9,975.00 ",07.06,New York,German,994,2201,4,1/14/2021
15,All Ages,Website,0.04,"$11,346.00 ",5.28,Chicago,Spanish,482,8470,1,1/15/2021
16,Women 35-44,YouTube,0.11,"$9,407.00 ",2.91,New York,German,299,1512,5,1/16/2021
17,Women 35-44,Website,0.08,"$5,478.00 ",4.53,Houston,English,931,2488,3,1/17/2021
18,Men 18-24,Instagram,0.14,"$9,485.00 ",4.48,Miami,French,218,9264,9,1/18/2021
19,Men 25-34,Google Ads,0.07,"$19,224.00 ",06.08,New York,French,182,5798,1,1/19/2021
20,Men 25-34,Google Ads,0.09,"$10,258.00 ",3.83,Miami,French,193,3677,1,1/20/2021
21,Women 25-34,Email,0.04,"$16,580.00 ",7.99,New York,Spanish,975,1561,3,1/21/2021
22,All Ages,Facebook,0.02,"$12,824.00 ",6.21,New York,French,319,8586,2,1/22/2021
23,Women 35-44,YouTube,0.13,"$8,699.00 ",2.12,Miami,French,646,3841,5,1/23/2021
24,Women 25-34,Facebook,0.04,"$17,608.00 ",7.31,Miami,Spanish,764,2157,8,1/24/2021
25,Men 18-24,YouTube,0.07,"$8,773.00 ",06.03,Miami,Mandarin,527,1733,1,1/25/2021
26,Women 25-34,Instagram,0.04,"$14,756.00 ",6.23,Houston,English,809,8236,10,1/26/2021
27,Women 25-34,Facebook,0.09,"$9,182.00 ",06.03,Houston,English,953,6916,5,1/27/2021
28,Men 25-34,YouTube,0.07,"$6,601.00 ",3.29,New York,Spanish,604,2420,3,1/28/2021
29,Men 18-24,Email,0.09,"$11,552.00 ",7.12,Chicago,Spanish,384,7620,7,1/29/2021
30,Women 25-34,Email,0.09,"$11,608.00 ",3.61,Los Angeles,Spanish,952,4055,1,1/30/2021
31,Men 25-34,Instagram,0.07,"$13,124.00 ",2.77,Houston,Mandarin,512,4837,4,1/31/2021
32,All Ages,YouTube,0.07,"$13,245.00 ",6.83,New York,English,309,2885,7,2/1/2021
33,Women 35-44,Email,0.06,"$5,796.00 ",4.42,New York,Spanish,367,3218,9,2/2/2021
34,Women 25-34,Google Ads,0.14,"$15,082.00 ",2.71,Los Angeles,German,243,5724,4,2/3/2021
35,Men 18-24,YouTube,0.07,"$18,332.00 ",7.81,Houston,Spanish,360,5349,6,2/4/2021
